Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
Ribosomal protein S9 (IPR000754)	11.1	7e-02	4	5	Solyc01g068530.3.1, Solyc04g026100.1.1, Solyc04g079790.3.1, Solyc10g080160.2.1
Protein of unknown function DUF760 (IPR008479)	8.7	6e-02	5	8	Solyc01g107380.3.1, Solyc02g087340.3.1, Solyc03g098000.3.1, Solyc08g076090.3.1, Solyc09g057580.4.1
Thioredoxin (IPR005746)	8.3	5e-02	6	10	Solyc04g071560.4.1, Solyc04g080850.3.1, Solyc07g063190.3.1, Solyc10g006970.3.1, Solyc10g008390.3.1, Solyc12g013810.2.1
ATP-dependent Clp protease proteolytic subunit (IPR001907)	7	6e-02	6	12	Solyc01g099690.3.1, Solyc01g100520.3.1, Solyc08g075750.4.1, Solyc08g077890.3.1, Solyc08g079620.3.1, Solyc10g049710.2.1
Clp protease proteolytic subunit /Translocation-enhancing protein TepA (IPR023562)	7	6e-02	6	12	Solyc01g099690.3.1, Solyc01g100520.3.1, Solyc08g075750.4.1, Solyc08g077890.3.1, Solyc08g079620.3.1, Solyc10g049710.2.1
Aminoacyl-tRNA synthetase, class II (IPR006195)	4.8	7e-02	8	23	Solyc01g096870.4.1, Solyc01g098880.3.1, Solyc03g019940.4.1, Solyc04g074630.4.1, Solyc05g056260.2.1, Solyc06g068320.3.1, Solyc07g048080.4.1, Solyc10g080710.2.1
Transcription termination factor, mitochondrial/chloroplastic (IPR003690)	4.3	7e-02	9	29	Solyc01g007750.3.1, Solyc04g005630.3.1, Solyc04g072490.4.1, Solyc04g072500.1.1, Solyc04g072510.3.1, Solyc04g072520.3.1, Solyc04g072530.2.1, Solyc05g007840.3.1, Solyc12g010650.1.1
Mitochondrial substrate/solute carrier (IPR018108)	3.2	5e-02	15	65	Solyc01g005620.3.1, Solyc01g079760.3.1, Solyc01g098910.3.1, Solyc03g118090.3.1, Solyc03g121920.3.1, Solyc04g071010.4.1, Solyc06g061170.3.1, Solyc08g061090.3.1, Solyc08g063010.3.1, Solyc08g082020.3.1, Solyc09g005250.3.1, Solyc09g011920.3.1, Solyc09g031680.3.1, Solyc09g075490.4.1, Solyc10g011670.3.1
Thioredoxin domain (IPR013766)	3.1	5e-02	17	77	Solyc01g096480.2.1, Solyc02g032860.3.1, Solyc02g078360.4.1, Solyc02g079960.3.1, Solyc03g031620.3.1, Solyc03g121480.3.1, Solyc04g071560.4.1, Solyc04g078910.3.1, Solyc04g080850.3.1, Solyc07g042440.3.1, Solyc07g063190.3.1, Solyc10g006970.3.1, Solyc10g008390.3.1, Solyc10g080080.3.1, Solyc10g083650.1.1, Solyc11g019920.2.1, Solyc12g013810.2.1
Small GTP-binding protein domain (IPR005225)	2.6	5e-02	22	119	Solyc01g079535.1.1, Solyc01g088560.3.1, Solyc01g100860.3.1, Solyc01g103370.3.1, Solyc01g109520.3.1, Solyc02g081380.3.1, Solyc03g112150.1.1, Solyc03g120750.3.1, Solyc04g011360.3.1, Solyc04g012180.4.1, Solyc04g072060.4.1, Solyc04g080770.3.1, Solyc05g053940.3.1, Solyc06g071790.3.1, Solyc06g076450.3.1, Solyc08g078070.4.1, Solyc08g081900.4.1, Solyc09g056340.3.1, Solyc09g098170.4.1, Solyc11g043150.2.1, Solyc12g014080.2.1, Solyc12g099080.3.1
