Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
Ribosomal protein L19 (IPR001857)	6.5	2e-02	5	5	AT1G24240.1, AT4G11630.1, AT4G17560.1, AT5G11750.1, AT5G47190.1
Ribosomal protein S11 (IPR001971)	6.5	2e-02	5	5	AT1G31817.1, AT2G36160.1, AT3G11510.1, AT3G52580.1, ATCG00750.1
Ribosomal protein L41 (IPR007836)	6.5	2e-02	5	5	AT1G56045.1, AT2G40205.1, AT3G08520.1, AT3G11120.1, AT3G56020.1
Ribosomal protein L6, alpha-beta domain (IPR020040)	6.5	2e-02	5	5	AT1G05190.1, AT1G33120.1, AT1G33140.1, AT2G18400.1, AT4G10450.1
Ribosomal protein L21e (IPR001147)	6.5	6e-02	4	4	AT1G09590.1, AT1G09690.1, AT1G57660.1, AT1G57860.1
Ribosomal protein L35A (IPR001780)	6.5	6e-02	4	4	AT1G07070.1, AT1G41880.1, AT1G74270.1, AT3G55750.1
Beta tubulin (IPR002453)	5.9	2e-04	9	10	AT1G20010.1, AT1G75780.1, AT2G29550.1, AT4G20890.1, AT5G12250.1, AT5G23860.1, AT5G44340.1, AT5G62690.1, AT5G62700.1
Tubulin (IPR000217)	5.5	7e-08	16	19	AT1G04820.1, AT1G20010.1, AT1G50010.1, AT1G75780.1, AT2G29550.1, AT3G61650.1, AT4G14960.2, AT4G20890.1, AT5G05620.1, AT5G12250.1, AT5G19770.1, AT5G19780.1, AT5G23860.1, AT5G44340.1, AT5G62690.1, AT5G62700.1
Tubulin/FtsZ, 2-layer sandwich domain (IPR018316)	5.5	7e-08	16	19	AT1G04820.1, AT1G20010.1, AT1G50010.1, AT1G75780.1, AT2G29550.1, AT3G61650.1, AT4G14960.2, AT4G20890.1, AT5G05620.1, AT5G12250.1, AT5G19770.1, AT5G19780.1, AT5G23860.1, AT5G44340.1, AT5G62690.1, AT5G62700.1
Ribosomal protein L10P (IPR001790)	5.4	5e-02	5	6	AT1G25260.1, AT2G40010.1, AT3G09200.1, AT3G11250.1, AT5G13510.1
K Homology domain, type 2 (IPR004044)	5.4	5e-02	5	6	AT1G30960.1, AT2G31610.1, AT5G35530.1, AT5G66470.1, ATCG00800.1
Protein of unknown function DUF1635 (IPR012862)	5.4	5e-02	5	6	AT2G28140.1, AT2G28690.1, AT3G44940.1, AT5G22930.1, AT5G59760.1
Tubulin/FtsZ, GTPase domain (IPR003008)	5.2	2e-08	19	24	AT1G04820.1, AT1G20010.1, AT1G50010.1, AT1G75010.1, AT1G75780.1, AT2G29550.1, AT3G52750.1, AT3G61650.1, AT4G14960.2, AT4G20890.1, AT5G05620.1, AT5G12250.1, AT5G19770.1, AT5G19780.1, AT5G23860.1, AT5G44340.1, AT5G55280.1, AT5G62690.1, AT5G62700.1
Nascent polypeptide-associated complex NAC domain (IPR002715)	4.9	4e-02	6	8	AT1G17880.1, AT1G33040.1, AT1G73230.1, AT3G12390.1, AT3G49470.1, AT5G13850.1
Ribosomal protein L18e/L15P (IPR021131)	4.9	4e-02	6	8	AT1G23290.1, AT1G70600.1, AT3G05590.1, AT3G25920.1, AT5G27850.1, AT5G64670.1
IRX15/IRX15L/IGXM (IPR006514)	4.6	3e-02	7	10	AT1G09610.1, AT1G33800.1, AT1G71690.1, AT2G15440.1, AT4G09990.1, AT4G24910.1, AT5G67210.1
Polysaccharide biosynthesis domain (IPR021148)	4.6	3e-02	7	10	AT1G09610.1, AT1G33800.1, AT1G71690.1, AT2G15440.1, AT4G09990.1, AT4G24910.1, AT5G67210.1
Chaperone tailless complex polypeptide 1 (TCP-1) (IPR017998)	4.1	5e-02	7	11	AT3G02530.1, AT3G03960.1, AT3G18190.1, AT3G20050.1, AT5G16070.1, AT5G20890.1, AT5G26360.1
Cyclin, C-terminal domain (IPR004367)	4.1	2e-07	22	35	AT1G15570.1, AT1G16330.1, AT1G20590.1, AT1G20610.1, AT1G44110.1, AT1G70210.1, AT1G76310.1, AT1G77390.1, AT1G80370.1, AT2G17620.1, AT2G26760.1, AT3G11520.1, AT3G50070.1, AT4G34160.1, AT4G35620.1, AT4G37490.1, AT5G06150.1, AT5G10440.1, AT5G11300.1, AT5G25380.1, AT5G43080.1, AT5G67260.1
