Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
FUL1 binding between 101 and 200bp of TSS (FUL1_200)	9.6	9e-03	3	36	Solyc01g096100.2.1,Solyc02g091100.3.1,Solyc10g085890.1.1
FUL2 binding between 101 and 200bp of TSS (FUL2_200)	8.7	2e-03	5	66	Solyc01g096100.2.1,Solyc02g091100.3.1,Solyc03g117950.3.1,Solyc08g080630.4.1,Solyc10g085890.1.1
FUL1 binding between 0 and 50bp of TSS (FUL1_50)	7.4	5e-02	2	31	Solyc01g087990.3.1,Solyc02g083835.1.1
FUL1 binding between 1001 and 1500bp of TSS (FUL1_1500)	6.7	3e-03	5	86	Solyc02g088270.3.1,Solyc05g007060.4.1,Solyc06g053960.3.1,Solyc07g052420.3.1,Solyc12g098700.1.1
FUL1 binding between 201 and 500bp of TSS (FUL1_500)	6.6	9e-03	4	70	Solyc04g054260.4.1,Solyc06g053960.3.1,Solyc07g056570.1.1,Solyc08g061270.1.1
FUL1 binding between 501 and 1000bp of TSS (FUL1_1000)	6.2	2e-03	6	111	Solyc01g087990.3.1,Solyc02g037500.1.1,Solyc02g088260.3.1,Solyc02g092140.1.1,Solyc06g053960.3.1,Solyc07g054440.3.1
FUL2 binding between 1001 and 1500bp of TSS (FUL2_1500)	6.2	7e-04	8	149	Solyc01g087990.3.1,Solyc02g092140.1.1,Solyc03g117950.3.1,Solyc04g009810.3.1,Solyc05g007060.4.1,Solyc08g065610.3.1,Solyc10g085890.1.1,Solyc12g098700.1.1
FUL2 binding between 0 and 50bp of TSS (FUL2_50)	5.3	8e-02	2	43	Solyc02g083835.1.1,Solyc11g011990.2.1
FUL1 binding between 1501 and 2000bp of TSS (FUL1_2000)	5.3	4e-02	3	65	Solyc02g021220.1.1,Solyc03g026020.3.1,Solyc06g053950.3.1
FUL2 binding between 201 and 500bp of TSS (FUL2_500)	3.6	5e-02	4	128	Solyc04g054260.4.1,Solyc07g056570.1.1,Solyc08g061270.1.1,Solyc12g099810.2.1
